    0.250406672716140755E+00    0.234643144607543930E-01    0.688084304332733154E+00    0.960224934816360509E+00    0.928365206718444802E+00    0.769783878326416016E+01    0.110231637954711914E+01    0.217515267696626324E+00   -0.262798090993896949E+01   -0.498876712057380933E+00   -0.225147159022867527E+01    0.108539705550470011E+01   -0.319126640227211045E+00   -0.167542624628951557E+02   -0.164351358226679451E+02
    0.248637572765350340E+00    0.221425164341926550E-01    0.657984415292739877E+00    0.849928022623062107E+00    0.581017708778381325E+00    0.769769949913024831E+01    0.155717611312866211E+01    0.171431555702383775E-01   -0.778161406822163726E-01   -0.812775255914175210E+00   -0.227427359643684213E+01    0.331560544602666596E+01    0.729329781334885574E+00   -0.150834319234746950E+02   -0.158127617048095797E+02
    0.217192405700683600E+00    0.223658151030540452E-01    0.693372880220413212E+00    0.959948030710220390E+00    0.521658706665039107E+00    0.771021065711975062E+01   -0.338604927062988281E+01   -0.421017419124609660E+00    0.179340514556543040E+00   -0.214304476658639942E+01   -0.151598077845278567E+01    0.131305220038143511E+01    0.257240992715658301E+01   -0.127035517546203192E+02   -0.152759616817769022E+02
    0.118770731449127198E+00    0.222578887343406681E-01    0.787965401411056421E+00    0.938215025663375890E+00    0.602321028709411621E+00    0.760194787979125941E+01   -0.559997463226318359E+01   -0.422385871298729398E+00    0.444442614240188105E+00   -0.670453025371670952E+00   -0.118545629139248376E+01    0.259745559969474016E+01    0.197695566928915367E+01   -0.131320562700250694E+02   -0.151090119393142235E+02
    0.140711580991744994E+00    0.258921812772750851E-01    0.754054898023605369E+00    0.931961437463760367E+00    0.542059946060180708E+00    0.766974208354949916E+01   -0.527764678001403809E+01    0.712439126881463380E+00    0.684344850709521779E+00   -0.132710178602451356E+01   -0.305672737252848492E+01    0.153899086560954879E+01    0.119805719986722159E+01   -0.132803839714024505E+02   -0.144784411712696723E+02
    0.168142874479293825E+00    0.252200952172279350E-01    0.802228058576583858E+00    0.986646666526794447E+00    0.545265436172485352E+00    0.763974752426147408E+01   -0.491708421707153320E+01   -0.506998536025093927E-02    0.140411241282095034E+01   -0.358336494335731004E+01   -0.148078040891846285E+01    0.329377556275858518E+00   -0.148842059218779665E+01   -0.158608429801505295E+02   -0.143724223879627324E+02
    0.193602675676345815E+00    0.196717881560325610E-01    0.767310321331024170E+00    0.100915013074874871E+01    0.572425770759582453E+00    0.761966242790222115E+01   -0.350565361976623535E+01    0.196980148317607018E+00    0.137606731074470190E+01   -0.166177667325086964E+01   -0.103521402487899650E+01    0.539192396889802916E+00    0.155604387482368733E+01   -0.127163927239553285E+02   -0.142724365987790165E+02
    0.800850985050201442E-01    0.220546067953109742E-01    0.659866456985473637E+00    0.107319182991981510E+01    0.771961593627929599E+00    0.790956995487213099E+01   -0.292848658561706543E+01   -0.259208918206468297E+00    0.264764188171966508E+00   -0.198807308758546220E+01   -0.159002681482547814E+01    0.163282585903630229E+01    0.266290450874273166E+01   -0.115839058692641146E+02   -0.142468103780068454E+02
    0.211398561716079708E+00    0.203687095642089838E-01    0.681447349786758472E+00    0.887602059841156033E+00    0.788459324836730868E+00    0.764366011619567853E+01   -0.810144424438476562E+00    0.375062008212125875E+00    0.444700624153711088E+00    0.284330488831301631E+00   -0.222672460142234740E+01    0.198256548637459695E+01    0.142652566371815404E+01   -0.127378355731886401E+02   -0.141643612369067942E+02
    0.176261172294616686E+00    0.228469559550285341E-01    0.766734805107116668E+00    0.996221476793289207E+00    0.526559495925903343E+00    0.770602214336395264E+01   -0.210663270950317383E+01   -0.205726857324179946E+00   -0.247995917618595740E+01   -0.284224732363668409E+01    0.756726222903125745E-02    0.143775435696056797E+01   -0.189460447816378963E+01   -0.160261512557958383E+02   -0.141315467776320496E+02
